request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_63,64615.63,affordable_with_plan,partial_payment,"[{""date"": ""2026-07-07"", ""amount"": 64615.63}, {""date"": ""2026-08-15"", ""amount"": 279284.37}]",2026-08-15,[],"The max safe amount today is 64615.63. By making spending changes (), you can pay the remainder by 2026-08-15. Recommended method is partial_payment."
request_64,46032.81,affordable_with_plan,installments,"[{""date"": ""2024-06-11"", ""amount"": 22082.67}, {""date"": ""2024-07-12"", ""amount"": 22082.67}, {""date"": ""2024-08-12"", ""amount"": 22082.67}]",2024-06-15,[],"The max safe upfront amount is 46032.81. By making spending changes (), you can afford the 3-payment installment plan."
request_65,6603.66,not_affordable,,[],2026-01-15,[],The safe amount is 6603.66. The request is not affordable within 90 days under any acceptable payment plan.
request_66,22200,affordable_now,full_payment,"[{""date"": ""2026-04-03"", ""amount"": 22200}]",2026-04-03,[],The full requested amount of 22200 is safe to pay today without any spending changes. Recommended method is full_payment.
request_67,311.83,affordable_later,wait,"[{""date"": ""2024-09-15"", ""amount"": 2094}]",2024-09-15,[],"The request is not safe to pay today. However, the full amount will become safe to pay on 2024-09-15. Recommended method is wait."
request_68,1512.88,not_affordable,,[],2025-04-15,[],The safe amount is 1512.88. The request is not affordable within 90 days under any acceptable payment plan.
request_69,529.1,affordable_now,full_payment,"[{""date"": ""2026-01-04"", ""amount"": 529.1}]",2026-01-04,[],The full requested amount of 529.1 is safe to pay today without any spending changes. Recommended method is full_payment.
request_70,9612.83,not_affordable,,[],,[],The safe amount is 9612.83. The request is not affordable within 90 days under any acceptable payment plan.
request_71,0,not_affordable,,[],,[],The safe amount is 0. The request is not affordable within 90 days under any acceptable payment plan.
request_72,11330,affordable_now,full_payment,"[{""date"": ""2026-07-05"", ""amount"": 11330}]",2026-07-05,[],The full requested amount of 11330 is safe to pay today without any spending changes. Recommended method is full_payment.
request_73,71400,affordable_now,full_payment,"[{""date"": ""2023-01-20"", ""amount"": 71400}]",2023-01-20,[],The full requested amount of 71400 is safe to pay today without any spending changes. Recommended method is full_payment.
request_74,5010,affordable_now,full_payment,"[{""date"": ""2025-08-04"", ""amount"": 5010}]",2025-08-04,[],The full requested amount of 5010 is safe to pay today without any spending changes. Recommended method is full_payment.
request_75,28270,affordable_with_plan,installments,"[{""date"": ""2026-04-06"", ""amount"": 28270}]",2026-04-06,[],"The max safe upfront amount is 28270. By making spending changes (), you can afford the 1-payment installment plan."
request_76,822.65,not_affordable,,[],,[],The safe amount is 822.65. The request is not affordable within 90 days under any acceptable payment plan.
request_77,60304.08,affordable_with_plan,full_payment,"[{""date"": ""2025-11-05"", ""amount"": 60700}]",2025-11-15,"[""stop:event_7143""]","The max safe baseline amount is 60304.08. By making spending changes (stop:event_7143), you can afford the full_payment plan."
request_78,49354.91,affordable_with_plan,full_payment,"[{""date"": ""2025-10-02"", ""amount"": 50200}]",2025-10-15,"[""stop:event_7224""]","The max safe baseline amount is 49354.91. By making spending changes (stop:event_7224), you can afford the full_payment plan."
request_79,391.94,affordable_with_plan,partial_payment,"[{""date"": ""2024-09-04"", ""amount"": 391.94}, {""date"": ""2024-09-15"", ""amount"": 1759.66}]",2024-09-15,[],"The max safe amount today is 391.94. By making spending changes (), you can pay the remainder by 2024-09-15. Recommended method is partial_payment."
request_80,127972.28,not_affordable,,[],2025-02-24,[],The safe amount is 127972.28. The request is not affordable within 90 days under any acceptable payment plan.
request_81,2076,affordable_now,full_payment,"[{""date"": ""2026-07-03"", ""amount"": 2076}]",2026-07-03,[],The full requested amount of 2076 is safe to pay today without any spending changes. Recommended method is full_payment.
request_82,470.29,affordable_later,wait,"[{""date"": ""2024-12-15"", ""amount"": 1405.2}]",2024-12-15,[],"The request is not safe to pay today. However, the full amount will become safe to pay on 2024-12-15. Recommended method is wait."
request_83,10567.06,not_affordable,,[],2025-06-15,[],The safe amount is 10567.06. The request is not affordable within 90 days under any acceptable payment plan.
request_84,20999.23,affordable_later,wait,"[{""date"": ""2026-06-15"", ""amount"": 95400}]",2026-06-15,[],"The request is not safe to pay today. However, the full amount will become safe to pay on 2026-06-15. Recommended method is wait."
request_85,631498.63,not_affordable,,[],,[],The safe amount is 631498.63. The request is not affordable within 90 days under any acceptable payment plan.
request_86,46300,affordable_now,full_payment,"[{""date"": ""2025-08-03"", ""amount"": 46300}]",2025-08-03,[],The full requested amount of 46300 is safe to pay today without any spending changes. Recommended method is full_payment.
request_87,37161.76,affordable_later,wait,"[{""date"": ""2026-02-15"", ""amount"": 487900}]",2026-02-15,[],"The request is not safe to pay today. However, the full amount will become safe to pay on 2026-02-15. Recommended method is wait."
request_88,11959.79,affordable_with_plan,installments,"[{""date"": ""2024-06-14"", ""amount"": 9045.23}, {""date"": ""2024-07-15"", ""amount"": 9045.23}, {""date"": ""2024-08-15"", ""amount"": 9045.23}]",2024-06-15,[],"The max safe upfront amount is 11959.79. By making spending changes (), you can afford the 3-payment installment plan."
request_89,9952158.58,affordable_with_plan,installments,"[{""date"": ""2025-11-18"", ""amount"": 4768746.67}, {""date"": ""2025-12-16"", ""amount"": 4768746.67}, {""date"": ""2026-01-13"", ""amount"": 4768746.67}]",2025-11-15,[],"The max safe upfront amount is 9952158.58. By making spending changes (), you can afford the 3-payment installment plan."
request_90,2560,affordable_now,full_payment,"[{""date"": ""2026-07-06"", ""amount"": 2560}]",2026-07-06,[],The full requested amount of 2560 is safe to pay today without any spending changes. Recommended method is full_payment.
request_91,396.29,affordable_later,wait,"[{""date"": ""2024-11-15"", ""amount"": 1927.2}]",2024-11-15,[],"The request is not safe to pay today. However, the full amount will become safe to pay on 2024-11-15. Recommended method is wait."
request_92,34034,affordable_now,full_payment,"[{""date"": ""2025-02-05"", ""amount"": 34034}]",2025-02-05,[],The full requested amount of 34034 is safe to pay today without any spending changes. Recommended method is full_payment.
request_93,1729.2,affordable_now,full_payment,"[{""date"": ""2026-04-07"", ""amount"": 1729.2}]",2026-04-07,[],The full requested amount of 1729.2 is safe to pay today without any spending changes. Recommended method is full_payment.
request_94,572,affordable_now,full_payment,"[{""date"": ""2024-12-04"", ""amount"": 572}]",2024-12-04,[],The full requested amount of 572 is safe to pay today without any spending changes. Recommended method is full_payment.
request_95,51766.31,not_affordable,,[],,[],The safe amount is 51766.31. The request is not affordable within 90 days under any acceptable payment plan.
request_96,69022.03,affordable_with_plan,installments,"[{""date"": ""2026-01-10"", ""amount"": 31269.33}, {""date"": ""2026-02-09"", ""amount"": 31269.33}, {""date"": ""2026-03-11"", ""amount"": 31269.33}]",2026-01-15,[],"The max safe upfront amount is 69022.03. By making spending changes (), you can afford the 3-payment installment plan."
request_97,2929.44,affordable_with_plan,installments,"[{""date"": ""2024-03-19"", ""amount"": 8145.28}, {""date"": ""2024-04-19"", ""amount"": 8145.28}, {""date"": ""2024-05-20"", ""amount"": 8145.28}]",2024-03-15,[],"The max safe upfront amount is 2929.44. By making spending changes (), you can afford the 3-payment installment plan."
request_98,11159.46,affordable_later,wait,"[{""date"": ""2025-08-15"", ""amount"": 27148}]",2025-08-15,[],"The request is not safe to pay today. However, the full amount will become safe to pay on 2025-08-15. Recommended method is wait."
request_99,18062,affordable_now,full_payment,"[{""date"": ""2026-07-04"", ""amount"": 18062}]",2026-07-04,[],The full requested amount of 18062 is safe to pay today without any spending changes. Recommended method is full_payment.
request_100,28292.46,affordable_with_plan,installments,"[{""date"": ""2024-06-13"", ""amount"": 12866.19}, {""date"": ""2024-07-14"", ""amount"": 12866.19}, {""date"": ""2024-08-14"", ""amount"": 12866.19}]",2024-06-15,[],"The max safe upfront amount is 28292.46. By making spending changes (), you can afford the 3-payment installment plan."
request_101,143500,affordable_now,full_payment,"[{""date"": ""2025-11-03"", ""amount"": 143500}]",2025-11-03,[],The full requested amount of 143500 is safe to pay today without any spending changes. Recommended method is full_payment.
request_102,1716,affordable_with_plan,installments,"[{""date"": ""2026-04-05"", ""amount"": 1716}]",2026-04-05,[],"The max safe upfront amount is 1716. By making spending changes (), you can afford the 1-payment installment plan."
request_103,17624.35,not_affordable,,[],,[],The safe amount is 17624.35. The request is not affordable within 90 days under any acceptable payment plan.
request_104,17204,affordable_now,full_payment,"[{""date"": ""2025-02-04"", ""amount"": 17204}]",2025-02-04,[],The full requested amount of 17204 is safe to pay today without any spending changes. Recommended method is full_payment.
request_105,0,not_affordable,,[],,[],The safe amount is 0. The request is not affordable within 90 days under any acceptable payment plan.
request_106,371.16,affordable_later,wait,"[{""date"": ""2024-12-15"", ""amount"": 2207.7}]",2024-12-15,[],"The request is not safe to pay today. However, the full amount will become safe to pay on 2024-12-15. Recommended method is wait."
request_107,1754.36,not_affordable,,[],2025-07-15,[],The safe amount is 1754.36. The request is not affordable within 90 days under any acceptable payment plan.
request_108,4947.66,not_affordable,,[],2026-09-15,[],The safe amount is 4947.66. The request is not affordable within 90 days under any acceptable payment plan.
request_109,817.23,affordable_with_plan,installments,"[{""date"": ""2024-03-18"", ""amount"": 645.98}, {""date"": ""2024-04-18"", ""amount"": 645.98}, {""date"": ""2024-05-19"", ""amount"": 645.98}]",2024-03-15,[],"The max safe upfront amount is 817.23. By making spending changes (), you can afford the 3-payment installment plan."
request_110,22352,affordable_with_plan,installments,"[{""date"": ""2025-08-06"", ""amount"": 22352}]",2025-08-06,[],"The max safe upfront amount is 22352. By making spending changes (), you can afford the 1-payment installment plan."
request_111,16625000,affordable_now,full_payment,"[{""date"": ""2026-04-03"", ""amount"": 16625000}]",2026-04-03,[],The full requested amount of 16625000 is safe to pay today without any spending changes. Recommended method is full_payment.
request_112,271.7,affordable_now,full_payment,"[{""date"": ""2024-06-05"", ""amount"": 271.7}]",2024-06-05,[],The full requested amount of 271.7 is safe to pay today without any spending changes. Recommended method is full_payment.
request_113,29216.87,affordable_later,wait,"[{""date"": ""2026-09-15"", ""amount"": 36500}]",2026-09-15,[],"The request is not safe to pay today. However, the full amount will become safe to pay on 2026-09-15. Recommended method is wait."
request_114,0,not_affordable,,[],,[],The safe amount is 0. The request is not affordable within 90 days under any acceptable payment plan.
request_115,16371.71,affordable_later,wait,"[{""date"": ""2024-10-15"", ""amount"": 80500}]",2024-10-15,[],"The request is not safe to pay today. However, the full amount will become safe to pay on 2024-10-15. Recommended method is wait."
request_116,15987.68,not_affordable,,[],2025-03-15,[],The safe amount is 15987.68. The request is not affordable within 90 days under any acceptable payment plan.
request_117,880,affordable_now,full_payment,"[{""date"": ""2026-07-05"", ""amount"": 880}]",2026-07-05,[],The full requested amount of 880 is safe to pay today without any spending changes. Recommended method is full_payment.
request_118,609.1,affordable_with_plan,installments,"[{""date"": ""2024-12-07"", ""amount"": 255.87}, {""date"": ""2025-01-07"", ""amount"": 255.87}, {""date"": ""2025-02-07"", ""amount"": 255.87}]",2024-12-15,[],"The max safe upfront amount is 609.1. By making spending changes (), you can afford the 3-payment installment plan."
request_119,70146.78,affordable_with_plan,installments,"[{""date"": ""2025-05-18"", ""amount"": 70546.67}, {""date"": ""2025-06-15"", ""amount"": 70546.67}, {""date"": ""2025-07-13"", ""amount"": 70546.67}]",2025-05-15,[],"The max safe upfront amount is 70146.78. By making spending changes (), you can afford the 3-payment installment plan."
request_120,7714000,affordable_now,full_payment,"[{""date"": ""2026-04-06"", ""amount"": 7714000}]",2026-04-06,[],The full requested amount of 7714000 is safe to pay today without any spending changes. Recommended method is full_payment.
request_121,633.6,affordable_now,full_payment,"[{""date"": ""2024-03-03"", ""amount"": 633.6}]",2024-03-03,[],The full requested amount of 633.6 is safe to pay today without any spending changes. Recommended method is full_payment.
request_122,20558000,affordable_with_plan,installments,"[{""date"": ""2025-08-05"", ""amount"": 20558000}]",2025-08-05,[],"The max safe upfront amount is 20558000. By making spending changes (), you can afford the 1-payment installment plan."
request_123,4076000,affordable_now,full_payment,"[{""date"": ""2026-01-07"", ""amount"": 4076000}]",2026-01-07,[],The full requested amount of 4076000 is safe to pay today without any spending changes. Recommended method is full_payment.
request_124,1498.4,affordable_with_plan,installments,"[{""date"": ""2024-06-11"", ""amount"": 1076.12}, {""date"": ""2024-07-12"", ""amount"": 1076.12}, {""date"": ""2024-08-12"", ""amount"": 1076.12}]",2024-06-15,[],"The max safe upfront amount is 1498.4. By making spending changes (), you can afford the 3-payment installment plan."
request_125,5960.46,not_affordable,,[],2025-11-15,[],The safe amount is 5960.46. The request is not affordable within 90 days under any acceptable payment plan.
request_126,159600,affordable_now,full_payment,"[{""date"": ""2026-07-03"", ""amount"": 159600}]",2026-07-03,[],The full requested amount of 159600 is safe to pay today without any spending changes. Recommended method is full_payment.
request_127,11731.65,affordable_later,wait,"[{""date"": ""2024-09-15"", ""amount"": 23980}]",2024-09-15,[],"The request is not safe to pay today. However, the full amount will become safe to pay on 2024-09-15. Recommended method is wait."
request_128,25168,affordable_now,full_payment,"[{""date"": ""2025-02-07"", ""amount"": 25168}]",2025-02-07,[],The full requested amount of 25168 is safe to pay today without any spending changes. Recommended method is full_payment.
request_129,154.54,not_affordable,,[],,[],The safe amount is 154.54. The request is not affordable within 90 days under any acceptable payment plan.
request_130,350.57,affordable_later,wait,"[{""date"": ""2025-02-15"", ""amount"": 1978.8}]",2025-02-15,[],"The request is not safe to pay today. However, the full amount will become safe to pay on 2025-02-15. Recommended method is wait."
request_131,1498.29,affordable_with_plan,installments,"[{""date"": ""2025-05-06"", ""amount"": 643.14}, {""date"": ""2025-06-03"", ""amount"": 643.14}, {""date"": ""2025-07-01"", ""amount"": 643.14}]",2025-05-15,[],"The max safe upfront amount is 1498.29. By making spending changes (), you can afford the 3-payment installment plan."
request_132,24.55,not_affordable,,[],,[],The safe amount is 24.55. The request is not affordable within 90 days under any acceptable payment plan.
request_133,15770000,not_affordable,,[],2024-03-07,[],The safe amount is 15770000. The request is not affordable within 90 days under any acceptable payment plan.
request_134,7343943.67,affordable_later,wait,"[{""date"": ""2025-08-15"", ""amount"": 21831000}]",2025-08-15,[],"The request is not safe to pay today. However, the full amount will become safe to pay on 2025-08-15. Recommended method is wait."
request_135,304.8,affordable_now,full_payment,"[{""date"": ""2026-07-06"", ""amount"": 304.8}]",2026-07-06,[],The full requested amount of 304.8 is safe to pay today without any spending changes. Recommended method is full_payment.
request_136,521.93,affordable_with_plan,full_payment,"[{""date"": ""2024-06-03"", ""amount"": 560.4}]",2024-06-15,"[""reduce_to:event_12498:27.2""]","The max safe baseline amount is 521.93. By making spending changes (reduce_to:event_12498:27.2), you can afford the full_payment plan."
request_137,32100.16,affordable_later,wait,"[{""date"": ""2025-12-15"", ""amount"": 80100}]",2025-12-15,[],"The request is not safe to pay today. However, the full amount will become safe to pay on 2025-12-15. Recommended method is wait."
request_138,877.98,affordable_with_plan,partial_payment,"[{""date"": ""2026-04-07"", ""amount"": 877.98}, {""date"": ""2026-04-15"", ""amount"": 378.96}]",2026-04-15,[],"The max safe amount today is 877.98. By making spending changes (), you can pay the remainder by 2026-04-15. Recommended method is partial_payment."
request_139,1193.99,affordable_with_plan,installments,"[{""date"": ""2024-09-07"", ""amount"": 802.88}, {""date"": ""2024-10-08"", ""amount"": 802.88}, {""date"": ""2024-11-08"", ""amount"": 802.88}]",2024-09-15,[],"The max safe upfront amount is 1193.99. By making spending changes (), you can afford the 3-payment installment plan."
request_140,2179.09,not_affordable,,[],,[],The safe amount is 2179.09. The request is not affordable within 90 days under any acceptable payment plan.
request_141,29988.83,not_affordable,,[],,[],The safe amount is 29988.83. The request is not affordable within 90 days under any acceptable payment plan.
request_142,1263.6,affordable_now,full_payment,"[{""date"": ""2024-12-05"", ""amount"": 1263.6}]",2024-12-05,[],The full requested amount of 1263.6 is safe to pay today without any spending changes. Recommended method is full_payment.
request_143,3085.56,not_affordable,,[],,[],The safe amount is 3085.56. The request is not affordable within 90 days under any acceptable payment plan.
request_144,233.34,affordable_now,full_payment,"[{""date"": ""2026-07-04"", ""amount"": 233.34}]",2026-07-04,[],The full requested amount of 233.34 is safe to pay today without any spending changes. Recommended method is full_payment.
request_145,38537.74,affordable_with_plan,installments,"[{""date"": ""2024-03-20"", ""amount"": 75365.33}, {""date"": ""2024-04-20"", ""amount"": 75365.33}, {""date"": ""2024-05-21"", ""amount"": 75365.33}]",2024-03-15,[],"The max safe upfront amount is 38537.74. By making spending changes (), you can afford the 3-payment installment plan."
request_146,16801.22,affordable_later,wait,"[{""date"": ""2025-09-15"", ""amount"": 449400}]",2025-09-15,[],"The request is not safe to pay today. However, the full amount will become safe to pay on 2025-09-15. Recommended method is wait."
request_147,548.58,affordable_with_plan,installments,"[{""date"": ""2026-04-08"", ""amount"": 391.63}, {""date"": ""2026-05-08"", ""amount"": 391.63}, {""date"": ""2026-06-07"", ""amount"": 391.63}]",2026-04-15,[],"The max safe upfront amount is 548.58. By making spending changes (), you can afford the 3-payment installment plan."
request_148,10459.85,affordable_with_plan,installments,"[{""date"": ""2024-06-14"", ""amount"": 7710.56}, {""date"": ""2024-07-15"", ""amount"": 7710.56}, {""date"": ""2024-08-15"", ""amount"": 7710.56}]",2024-06-15,[],"The max safe upfront amount is 10459.85. By making spending changes (), you can afford the 3-payment installment plan."
request_149,20135.43,affordable_with_plan,installments,"[{""date"": ""2025-11-18"", ""amount"": 12706.03}, {""date"": ""2025-12-16"", ""amount"": 12706.03}, {""date"": ""2026-01-13"", ""amount"": 12706.03}]",2025-11-15,[],"The max safe upfront amount is 20135.43. By making spending changes (), you can afford the 3-payment installment plan."
request_150,0,not_affordable,,[],,[],The safe amount is 0. The request is not affordable within 90 days under any acceptable payment plan.
request_151,26999000,affordable_now,full_payment,"[{""date"": ""2024-09-03"", ""amount"": 26999000}]",2024-09-03,[],The full requested amount of 26999000 is safe to pay today without any spending changes. Recommended method is full_payment.
request_152,11953.5,not_affordable,,[],2025-04-15,[],The safe amount is 11953.5. The request is not affordable within 90 days under any acceptable payment plan.
request_153,195.88,not_affordable,,[],,[],The safe amount is 195.88. The request is not affordable within 90 days under any acceptable payment plan.
request_154,1625.8,affordable_with_plan,installments,"[{""date"": ""2024-12-04"", ""amount"": 1625.8}]",2024-12-04,[],"The max safe upfront amount is 1625.8. By making spending changes (), you can afford the 1-payment installment plan."
request_155,112500,affordable_now,full_payment,"[{""date"": ""2025-05-06"", ""amount"": 112500}]",2025-05-06,[],The full requested amount of 112500 is safe to pay today without any spending changes. Recommended method is full_payment.
request_156,9110.86,affordable_later,wait,"[{""date"": ""2026-05-15"", ""amount"": 43076}]",2026-05-15,[],"The request is not safe to pay today. However, the full amount will become safe to pay on 2026-05-15. Recommended method is wait."
request_157,6212106.7,affordable_later,wait,"[{""date"": ""2024-04-15"", ""amount"": 23503000}]",2024-04-15,[],"The request is not safe to pay today. However, the full amount will become safe to pay on 2024-04-15. Recommended method is wait."
request_158,242600,affordable_with_plan,installments,"[{""date"": ""2025-08-07"", ""amount"": 242600}]",2025-08-07,[],"The max safe upfront amount is 242600. By making spending changes (), you can afford the 1-payment installment plan."
request_159,13398,affordable_now,full_payment,"[{""date"": ""2026-01-04"", ""amount"": 13398}]",2026-01-04,[],The full requested amount of 13398 is safe to pay today without any spending changes. Recommended method is full_payment.
request_160,573.99,affordable_with_plan,installments,"[{""date"": ""2024-06-13"", ""amount"": 432.05}, {""date"": ""2024-07-14"", ""amount"": 432.05}, {""date"": ""2024-08-14"", ""amount"": 432.05}]",2024-06-15,[],"The max safe upfront amount is 573.99. By making spending changes (), you can afford the 3-payment installment plan."
request_161,0,not_affordable,,[],,[],The safe amount is 0. The request is not affordable within 90 days under any acceptable payment plan.
request_162,4866729.57,not_affordable,,[],,[],The safe amount is 4866729.57. The request is not affordable within 90 days under any acceptable payment plan.
request_163,9579539.52,affordable_with_plan,installments,"[{""date"": ""2024-09-10"", ""amount"": 6692053.33}, {""date"": ""2024-10-11"", ""amount"": 6692053.33}, {""date"": ""2024-11-11"", ""amount"": 6692053.33}]",2024-09-15,[],"The max safe upfront amount is 9579539.52. By making spending changes (), you can afford the 3-payment installment plan."
request_164,27018000,affordable_with_plan,installments,"[{""date"": ""2025-02-04"", ""amount"": 27018000}]",2025-02-04,[],"The max safe upfront amount is 27018000. By making spending changes (), you can afford the 1-payment installment plan."
request_165,80600,affordable_now,full_payment,"[{""date"": ""2026-04-06"", ""amount"": 80600}]",2026-04-06,[],The full requested amount of 80600 is safe to pay today without any spending changes. Recommended method is full_payment.
